step,mean_goal_distance,active_mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,normalized_velocity_mismatch,mean_speed,max_speed,speed_std,min_agent_distance,cohesion_radius,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,active_dynamic_risk_count,min_predicted_obstacle_clearance,control_effort,lattice_deviation_energy,average_flocking_error,formation_recovery_step,formation_recovery_time,mean_neighbor_count,connected_components,lambda_2,relative_connectivity
35,14.837538662464173,14.837538662464173,14.587176199695996,1.0984149012079127,0.8855943914563961,1.1708245488259803,1.828407154522767,0.4444710628389584,0.6015277345327299,4.385556905460103,4.558885835653345,0.0,0.0,0.0,5.0,1.7806938634130156,4.489207005786897,0.8790861163512678,2.178647661336855,-1.0,-1.0,9.0,1.0,1.031801519811292,1.0
36,14.831749679994171,14.831749679994171,14.582844347049198,1.1059423326904307,0.8822888336418807,1.182004308659367,1.8570738702539173,0.4441644593248697,0.5956679831475998,4.366509217308561,4.566096811090298,0.0,0.0,0.0,5.0,1.7424331623364435,4.399871294417191,0.8849564420587511,2.3145530797014544,-1.0,-1.0,9.1,1.0,1.0379372886707852,1.0
37,14.825846101242353,14.825846101242353,14.578417354557129,1.1131924264590882,0.8789978950888127,1.192780095295125,1.8846119667594132,0.4440652815057186,0.589977443900501,4.347179024363553,4.573088035875766,0.0,0.0,0.0,5.0,1.7055522448949652,4.311954871033379,0.8904326387333736,2.4515127382128883,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
38,14.819829736232194,14.819829736232194,14.573896349698433,1.1201887154899246,0.875728148627682,1.2031896204380068,1.9111170540221214,0.4442086867711353,0.5844569578787643,4.327577164935977,4.579853070552826,0.0,0.0,0.0,5.0,1.6697388898992265,4.225090071072357,0.8703963069189651,2.5894792717163297,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
39,14.813702353298888,14.813702353298888,14.569282446244808,1.1269495255645632,0.8724855909526394,1.2132672263532196,1.9367117473282143,0.4446214011327891,0.5791068237479424,4.307713263322018,4.58638648578695,0.0,0.0,0.0,5.0,1.6347421403698283,4.138918935405847,0.8506649648968055,2.7284097781671632,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
40,14.807465683939062,14.807465683939062,14.564576744431688,1.1334891051898146,0.8692751890634436,1.2230425799073121,1.9615086457891435,0.44532013104148743,0.5739268379853116,4.287595830456256,4.59268375544515,0.0,0.0,0.0,5.0,1.6003665094785045,4.052795491273262,0.8312426957649833,2.8685015432463805,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
41,14.801121427684901,14.801121427684901,14.559780331126644,1.1398181130762095,0.8661008248283756,1.2325405738010162,1.9856072054207206,0.4463128766177306,0.5689163342760476,4.267232395814417,4.598741157214711,0.0,0.0,0.0,5.0,1.5664672111261058,3.966304130832166,0.8121326908701747,3.0095862961544197,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
42,14.794671256699434,14.794671256699434,14.554894279995588,1.1459437903493865,0.8629652729777783,1.2417813887166507,2.0090936290635333,0.4476001933356817,0.5640742220182129,4.246629640416445,4.604555680758788,0.0,0.0,0.0,5.0,1.5329453513812195,3.879244164140715,0.7933374423158669,3.1515505090530667,-1.0,-1.0,9.2,1.0,1.041336661288595,1.0
43,14.788116820076983,14.788116820076983,14.54991965166684,1.1518700299035003,0.8598701934514551,1.2507806474782,2.032040846016465,0.4491762579706782,0.5593990238594474,4.225793530029088,4.610124943414985,0.0,0.0,0.0,5.0,1.4997431727471353,3.7915745982540634,0.8011768799207585,3.294361573865148,-1.0,-1.0,9.3,1.0,1.0446217132907911,1.0
44,14.781459747687663,14.781459747687663,14.544857493893119,1.1575979092236752,0.856816233556135,1.259550172729727,2.0545085801495677,0.4510296087365048,0.5548889121733106,4.20472944768041,4.615447113373741,0.0,0.0,0.0,6.0,1.4668394319186295,3.70331490332251,0.8077851161767331,3.437988223123108,-1.0,-1.0,9.4,1.0,1.0460639288082432,1.0
