step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
34,15.203932685347919,14.997308990768559,1.204991386012725,0.5793977024551857,4.950752750498527,0.0,0.0,0.0,0.8790625380261043,9.4,1.0,1.7029919819849404
35,15.198117503653211,14.993054640383674,1.214937334716201,0.5734888789796763,4.956773948569551,0.0,0.0,0.0,0.8594741484162525,9.4,1.0,1.7029919819849404
36,15.19218130080111,14.98870367495845,1.2245946560704255,0.5676593277500763,4.962683790483267,0.0,0.0,0.0,0.8652313261153068,9.5,1.0,1.7418250834672784
37,15.18612604301332,14.984257239129406,1.2340010582821712,0.5619119268062344,4.968473886047568,0.0,0.0,0.0,0.846039122635643,9.5,1.0,1.7418250834672784
38,15.179953679073932,14.979716463579036,1.243189309914222,0.5562490351855564,4.974136368551744,0.0,0.0,0.0,0.8522009314124914,9.6,1.0,1.8325204457116846
39,15.173666142089411,14.975082465210747,1.252187234403508,0.5506725252119906,4.9796638404166265,0.0,0.0,0.0,0.8574704795018931,9.7,1.0,1.854609095773383
40,15.16726534855577,14.970356347321722,1.2610196029717842,0.5451838867352109,4.985049442200039,0.0,0.0,0.0,0.8620955402933261,9.8,1.0,1.8887365239063703
41,15.160753194002364,14.965539199773664,1.269710452976069,0.5397843159803455,4.990287028770104,0.0,0.0,0.0,0.8425232851840905,9.8,1.0,1.8887365239063703
42,15.154131551363651,14.960632099161456,1.2782810345091855,0.5344747341279832,4.995371076600396,0.0,0.0,0.0,0.823204786100205,9.8,1.0,1.8887365239063703
43,15.14740227363499,14.955636108979707,1.2867474572993127,0.5292558081338418,5.000296596941618,0.0,0.0,0.0,0.8041434263616302,9.8,1.0,1.8887365239063703
44,15.14056719646285,14.95055227978727,1.29512097865775,0.5241279714561654,5.005059062641647,0.0,0.0,0.0,0.7853419843977755,9.8,1.0,1.8887365239063703
45,15.133628140612169,14.94538164936973,1.3034082901456814,0.5190914455809494,5.009654347180342,0.0,0.0,0.0,0.8155645891669814,10.0,1.0,1.9939215802063361
46,15.126586912234092,14.940125242899956,1.3116140601643864,0.5141462652935436,5.014078674474324,0.0,0.0,0.0,0.7963992777658447,10.0,1.0,1.9939215802063361
