step,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
223,0.07229895279557266,0.19251425344713752,0.2099429443059505,15.0,1.0,15.999999999999975
224,0.07162097861126118,0.1918290265743889,0.21004828121640914,15.0,1.0,15.999999999999975
225,0.07095576482293332,0.1911564015850911,0.21015177002026744,15.0,1.0,15.999999999999975
226,0.07030293225302038,0.19049614626932648,0.2102534497759028,15.0,1.0,15.999999999999975
227,0.0696621126697111,0.18984803288660473,0.2103533594139985,15.0,1.0,15.999999999999975
228,0.06903294834543802,0.18921183806705444,0.21045153766701147,15.0,1.0,15.999999999999975
229,0.06841509166753129,0.18858734271518485,0.2105480230056814,15.0,1.0,15.999999999999975
230,0.06780820479761698,0.1879743319161834,0.210642853581965,15.0,1.0,15.999999999999975
231,0.0672119593769678,0.1873725948446931,0.21073606717785603,15.0,1.0,15.999999999999975
232,0.06662603627881956,0.1867819246760351,0.21082770116007257,15.0,1.0,15.999999999999975
233,0.06605012539704416,0.1862021184998238,0.21091779243987946,15.0,1.0,15.999999999999975
234,0.06548392546872141,0.18563297723592057,0.2110063774376382,15.0,1.0,15.999999999999975
235,0.06492714392573094,0.18507430555267543,0.2110934920517165,15.0,1.0,15.999999999999975
236,0.06437949676998428,0.1845259117873996,0.21117917163141944,15.0,1.0,15.999999999999975
237,0.06384070846676275,0.18398760786900603,0.2112634509536227,15.0,1.0,15.999999999999975
238,0.06331051185067257,0.1834592092427703,0.21134636420281147,15.0,1.0,15.999999999999975
239,0.06278864803895967,0.1829405347971381,0.2114279449542483,15.0,1.0,15.999999999999975
240,0.06227486634733815,0.1824314067925351,0.21150822616001339,15.0,1.0,15.999999999999975
241,0.06176892420403694,0.18193165079210408,0.21158724013767607,15.0,1.0,15.999999999999975
242,0.061270587058425946,0.18144109559431792,0.21166501856137623,15.0,1.0,15.999999999999975
243,0.06077962828130812,0.18095957316741434,0.2117415924551067,15.0,1.0,15.999999999999975
244,0.06029582905471086,0.18048691858558585,0.21181699218800537,15.0,1.0,15.999999999999975
245,0.05981897824974254,0.1800229699668638,0.211891247471477,15.0,1.0,15.999999999999975
246,0.05934887229177028,0.1795675684126572,0.2119643873579795,15.0,1.0,15.999999999999975
247,0.05888531501326116,0.17912055794928053,0.2120364402413032,15.0,1.0,15.999999999999975
248,0.05842811749495116,0.17868178547207084,0.2121074338581727,15.0,1.0,15.999999999999975
249,0.05797709789219057,0.17825110068918765,0.21217739529115714,15.0,1.0,15.999999999999975
250,0.05753208125291226,0.17782835606679756,0.21224635097269431,15.0,1.0,15.999999999999975
251,0.05709289932676955,0.17741340677575548,0.21231432669010822,15.0,1.0,15.999999999999975
252,0.05665939036678081,0.1770061106396873,0.21238134759151725,15.0,1.0,15.999999999999975
253,0.056231398925123736,0.17660632808442064,0.2124474381925358,15.0,1.0,15.999999999999975
