step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
124,14.580500027269789,14.503026825733825,1.2741063016381564,0.36439987658092754,0.559110146037454,14.8,1.0,5.985103102654611
125,14.572696083606115,14.496602824073321,1.2687098980014508,0.36224815026128343,0.541989540329667,14.8,1.0,5.985103102654611
126,14.564887533324711,14.490156662698842,1.2628974908637618,0.3601588905798958,0.5605588984977933,15.0,1.0,6.595884897279813
127,14.557074957069494,14.483688598838675,1.2566581663614207,0.35812956136581764,0.5782737087368005,15.2,1.0,7.091512801891408
128,14.5492589195144,14.477198886744938,1.2499890395974322,0.3561572076343938,0.5779094981364804,15.3,1.0,7.191757935091139
129,14.541439961999512,14.470687777731595,1.2428941734947452,0.3542385962730158,0.5601131589043757,15.3,1.0,7.191757935091139
130,14.533618600403054,14.464155520211838,1.235380068681844,0.35237032389624573,0.5603474388275433,15.4,1.0,7.244013178340246
131,14.52579532935456,14.457602359734933,1.227449462697644,0.35054890020495066,0.594204957771333,15.7,1.0,7.926901023816692
132,14.517970621758446,14.451028539022479,1.219105700920159,0.34877081446507374,0.5924191754938726,15.8,1.0,8.013188123551693
133,14.510144912677598,14.444434298004127,1.2103682637427782,0.34703298485463707,0.5740715605847677,15.8,1.0,8.013188123551693
134,14.502318595232472,14.437819873852634,1.2012634784247682,0.3453323397514169,0.5725463415623173,15.9,1.0,8.09319022862078
135,14.49449202618998,14.431185501018241,1.1918134414605028,0.34366565094972135,0.5547899395539666,15.9,1.0,8.09319022862078
136,14.48666553059673,14.424531411262404,1.1820366827303646,0.3420296151421268,0.5544510810263527,16.0,1.0,8.172026334560403
137,14.478839410692393,14.41785783369093,1.171943587550323,0.34042091880117714,0.5695726888623074,16.2,1.0,8.307613595157662
138,14.471013941079889,14.411164994786592,1.1615500516161985,0.33883629204300936,0.5518784414199263,16.2,1.0,8.307613595157662
139,14.463189361044439,14.404453118441172,1.1508808188878248,0.3372725470149676,0.5513795986350591,16.3,1.0,8.950235344334406
140,14.455365884630913,14.397722425986906,1.1399520818921696,0.33572660124553305,0.5343675930036554,16.3,1.0,8.950235344334406
141,14.44754370471568,14.390973136227402,1.1287772294806613,0.33419550007462534,0.5179568943004671,16.3,1.0,8.950235344334406
142,14.439722996404171,14.384205465468057,1.1173669979924261,0.3326764391678401,0.518187793542344,16.4,1.0,9.190397062589614
143,14.431903918715904,14.377419627546015,1.1057303133135186,0.3311663541543225,0.5507971719809845,16.7,1.0,9.456839030399122
144,14.424086612162503,14.370615833859668,1.0938787430064862,0.3296616230971693,0.5499964105962047,16.8,1.0,9.515291651912467
145,14.416271187705524,14.363794293397698,1.0818356154673519,0.3281583819833524,0.5333506140123848,16.8,1.0,9.515291651912467
146,14.408457726851747,14.356955212767577,1.0696262552393963,0.32665273619294294,0.5331598094976348,16.9,1.0,9.576423587626891
147,14.400646288684442,14.350098796223534,1.0572701930605362,0.32514090698416254,0.5638476912040331,17.2,1.0,11.071615268203622
148,14.392836908582115,14.343225245694052,1.0447887386741546,0.32361939424777164,0.5623300279555623,17.3,1.0,11.312723334594379
149,14.385029587646201,14.336334760808874,1.0322162716275967,0.32208570852880003,0.561117832989352,17.4,1.0,11.42349180118323
150,14.377224294331597,14.329427538925481,1.0195859681329558,0.32053829717805005,0.5445855222817354,17.4,1.0,11.42349180118323
151,14.369420970159933,14.322503775155024,1.006925555402823,0.31897628340097883,0.5440245064843534,17.5,1.0,11.51468755695474
152,14.3616195367307,14.3155636623878,0.9942561753235306,0.31739928945783147,0.5282120519383267,17.5,1.0,11.51468755695474
153,14.353819899941215,14.308607391318262,0.9815952492335827,0.3158073168250791,0.5129941898613826,17.5,1.0,11.51468755695474
154,14.346021957161307,14.301635150469671,0.9689534394327532,0.3142006622880189,0.5137222008347581,17.6,1.0,11.5761011624056
155,14.338225605031937,14.294647126218374,0.9563336445623823,0.3125798602248635,0.5145188523448921,17.7,1.0,11.71355585104763
156,14.330430739281093,14.28764350281781,0.9437386367139601,0.3109456434397993,0.5153884078122737,17.8,1.0,11.77613890866344
157,14.322637252563272,14.280624462422233,0.9311728962425642,0.3092989135433191,0.5311084263936348,18.0,1.0,12.702929455636717
158,14.314845032210732,14.273590185110132,0.9186432120301623,0.3076407160339556,0.5163868530872187,18.0,1.0,12.702929455636717
159,14.307053951952955,14.266540848907342,0.9061657014240003,0.3059722188048903,0.5169848407236904,18.1,1.0,13.465929803277273
160,14.299263875909762,14.259476629809777,0.8937537981439225,0.3042944665766524,0.502931308013027,18.1,1.0,13.465929803277273
161,14.291474662981111,14.252397701805878,0.8814176964613866,0.3026078232508266,0.48941462577450295,18.1,1.0,13.465929803277273
162,14.283686174166027,14.2453042368987,0.8691599226262235,0.30091224271371625,0.47641888933633497,18.1,1.0,13.465929803277273
163,14.275898278060163,14.23819640512783,0.8569770690426735,0.299207488403839,0.47875234393517174,18.2,1.0,13.726927136932328
164,14.268110851585698,14.231074374591028,0.8448641360397859,0.29749327588626323,0.4663034388199882,18.2,1.0,13.726927136932328
165,14.26032377718254,14.223938311465744,0.8328183196669597,0.2957693623195093,0.4690747759224386,18.3,1.0,13.867362506420156
166,14.252536943109124,14.216788380030371,0.8208369296123947,0.2940355991775272,0.4718232795343597,18.4,1.0,14.763932022500205
167,14.244750239833518,14.209624742685303,0.8089212173283364,0.29229196224420895,0.45991004316725975,18.4,1.0,14.763932022500205
168,14.236963558421133,14.202447559973779,0.7970740284018216,0.29053856515899673,0.44846339661032847,18.4,1.0,14.763932022500205
169,14.229176794597777,14.195256990602454,0.7852942245387202,0.2887756607540936,0.43746933000857324,18.4,1.0,14.763932022500205
170,14.22138985174011,14.188053191461794,0.7735775341494089,0.28700362891584386,0.4269141927915182,18.4,1.0,14.763932022500205
171,14.213602642813978,14.18083631764627,0.7619173987617882,0.28522297220219683,0.4167847208887054,18.4,1.0,14.763932022500205
172,14.205815091267883,14.173606522474394,0.7503062127343959,0.2834343104034593,0.4220168832423733,18.5,1.0,15.518805695907993
173,14.198027129223997,14.16636395750857,0.7387384039090652,0.2816383725499161,0.4122826443270615,18.5,1.0,15.518805695907993
174,14.190238693192196,14.15910877257482,0.7272134351718604,0.27983598479457295,0.40294574113478976,18.5,1.0,15.518805695907993
175,14.182449724932308,14.151841115782258,0.7157299112029479,0.27802805443719525,0.40895710076498165,18.6,1.0,15.829913513373961
176,14.17466016994042,14.144561133542418,0.7042880582171444,0.27621555519071683,0.42968478303274604,18.8,1.0,17.0
177,14.166869970522317,14.137268970588375,0.692895620100966,0.27439951299179827,0.42024618726352697,18.8,1.0,17.0
178,14.15907905648173,14.1299647699936,0.6815706918939811,0.27258099119046336,0.41118766578672555,18.8,1.0,17.0
179,14.151287348803987,14.122648673190534,0.6703295605776989,0.2707610737444512,0.40249701809111416,18.8,1.0,17.0
180,14.143494764314244,14.115320819988883,0.659186464785842,0.2689408525234005,0.4092157723296412,18.9,1.0,17.999999999999996
181,14.135701219145437,14.10798134859365,0.6481567321482344,0.2671214180307531,0.4008027261151777,18.9,1.0,17.999999999999996
182,14.127906626963428,14.100630395622979,0.6372664401662662,0.26530385227051706,0.3927321890256903,18.9,1.0,17.999999999999996
183,14.120110897928447,14.09326809612577,0.6265566680770653,0.2634892210879658,0.3849925295275173,18.9,1.0,17.999999999999996
184,14.112313942061437,14.085894583599051,0.6160642227687607,0.261678566805826,0.37757236063434324,18.9,1.0,17.999999999999996
185,14.104515671607228,14.078509990005168,0.6057852689832899,0.25987290331054547,0.3704605837325247,18.9,1.0,17.999999999999996
186,14.096716002639187,14.07111444578878,0.595688563946425,0.25807321262535815,0.37860183641992606,19.0,1.0,19.99999999999997
187,14.088914855380361,14.063708079893688,0.5857522710595703,0.25628044236954917,0.3716763190521062,19.0,1.0,19.99999999999997
188,14.081112149272437,14.056291019779502,0.575972922466091,0.2544955034335122,0.3650369041744651,19.0,1.0,19.99999999999997
189,14.073307803961802,14.048863391438102,0.5663527288178931,0.2527192604662431,0.358673394630048,19.0,1.0,19.99999999999997
190,14.065501741303482,14.041425319409917,0.5568932794369269,0.25095252702894094,0.3525758709367268,19.0,1.0,19.99999999999997
191,14.057693886747037,14.03397692680003,0.5475931423575078,0.24919606817857326,0.34673471348514995,19.0,1.0,19.99999999999997
192,14.04988417008769,14.026518335294117,0.538447664450681,0.2474506023495058,0.3411406102743016,19.0,1.0,19.99999999999997
193,14.042072525887141,14.019049665174238,0.529449764506853,0.24571679529235782,0.33578455730773543,19.0,1.0,19.99999999999997
194,14.034258893585525,14.011571035334477,0.5205914920141205,0.2439952608693049,0.330657853021778,19.0,1.0,19.99999999999997
195,14.026443217392194,14.004082563296432,0.5118653164605538,0.24228656616951794,0.3257520888483649,19.0,1.0,19.99999999999997
196,14.018625446047897,13.996584365224559,0.5032647757091759,0.24059123524474393,0.3210591378150426,19.0,1.0,19.99999999999997
197,14.010805532501669,13.989076555941374,0.49478466112475405,0.23890975116820673,0.31657114217040905,19.0,1.0,19.99999999999997
198,14.002983433554292,13.981559248942512,0.4864209172935726,0.23724255744554304,0.31228050098734145,19.0,1.0,19.99999999999997
199,13.995159109507004,13.974032556411627,0.47817042020781325,0.2355900591448094,0.30817985836971545,19.0,1.0,19.99999999999997
200,13.987332523750897,13.966496589235152,0.47003094913716453,0.2339526239039939,0.3042620914976199,19.0,1.0,19.99999999999997
201,13.979503642380731,13.958951457016909,0.46200101559826107,0.23233058287700356,0.30052029968671595,19.0,1.0,19.99999999999997
202,13.97167243384994,13.951397268092572,0.4540796915897679,0.2307242316857657,0.29694779462002563,19.0,1.0,19.99999999999997
203,13.963838868662751,13.943834129543978,0.4462664623694014,0.2291338314197929,0.29353809161711036,19.0,1.0,19.99999999999997
204,13.956002919076093,13.936262147213277,0.4385611841449936,0.22755960970559538,0.2902849016830935,19.0,1.0,19.99999999999997
205,13.94816455886413,13.92868142571696,0.4309640023704608,0.22600176185573378,0.28718212516728436,19.0,1.0,19.99999999999997
206,13.94032376311256,13.921092068459684,0.4234752566604607,0.22446045212882487,0.28422384595914296,19.0,1.0,19.99999999999997
207,13.932480508010787,13.91349417764802,0.4160954266558747,0.22293581507347232,0.2814043255754068,19.0,1.0,19.99999999999997
208,13.924634770691418,13.90588785430397,0.4088250626081019,0.2214279570843157,0.2787179982904249,19.0,1.0,19.99999999999997
209,13.916786529140008,13.898273198278403,0.4016646853088496,0.21993695808697258,0.27615946768464494,19.0,1.0,19.99999999999997
210,13.90893576207065,13.890650308264295,0.39461483554886617,0.21846287279237073,0.2737235022898957,19.0,1.0,19.99999999999997
211,13.90108244882174,13.883019281809851,0.3876760477198487,0.21700573204353518,0.2714050316401162,19.0,1.0,19.99999999999997
